Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
100,5,08/17/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1HZ3F6B_U56Ta96M8nEuUhg8BWLIJ8zno?usp=drive_link,,How to Solve a Story Problem,K,Algorithms,Math,Beth L.,Folder,,,,https://docs.google.com/document/d/1-x7uRewNE8cUXJF1URFouIIArQpunnwlMhWe9kkncwM/edit,,
101,5,08/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1D_sfzt6djOScXTFidr-HKZPswbif0OUK?usp=drive_link,,I Can Write a How To Book,K,Algorithms,ELA,Lauren M.,folder,,,,https://docs.google.com/document/d/1gQZKvrA-dTDuOlZ894jhFYjHNuZmKuIl0VeosUWdZFY/edit,,
102,5,08/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1uz5rzeJbLVnKOiTDqbjCHDmxq1oqXYRR?usp=drive_link,,Abstraction Flower Math,K,Abstraction,Math,Jeni H.,Folder,,,,https://docs.google.com/document/d/1XUadj2z0lt_EvK1sAICvxMCTSKm5FNsCkB56rep5lkI/edit,,
103,5,,,FALSE,,,Planning a Pollinator Garden,1,Algorithms,Math,Amy H.,folder,,,,,,
104,5,,,FALSE,,,Going west,2,Abstraction,ELA,Faith M.,folder,,,,,,
105,5,1/8/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1RG2_oCQpPXSK0JD5em13evZTinpYFCby,,Decomposing a Paragraph,"3, 4",Decomposition ,ELD,Lori F.,folder,,,,https://docs.google.com/document/d/1OAILjNZVHKB2terPIaRjbJf0Y1-rPQcdHCQUUJ_SLUY/edit,,
106,5,,,FALSE,,,PE Patterns,K,Pattern Recognition,PE,Shannon,,,,,,,
107,5,,,FALSE,,,Algorithms for Addition & Subtraction,2,Algorithms,Math,Melanie S.,folder,,,,,,
108,5,08/24/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1qox09iD93r2YQj6BsB3bZ_HLIh_zSXVq?usp=drive_link,,Tortise and the Hare - Sequencing,2,Algorithms,ELA,Jen D.,folder,,,,https://docs.google.com/document/d/1xCAmomf_vJQZw3VCiu0U6Pjesa5CShQ-tp1YHZbsXJ0/edit,,
109,5,12/16/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1I9hGC3MWzPTUDBEInQBC7OjWW50D4Q2J,,Class Community Data Portrait,3,Abstraction,"Math, SEL",Lori E.,folder,,,,https://docs.google.com/document/d/1Lnz_zs92mL2ETMVLspub2Zz5ywzGn4_sHb2Oa9aATtM/edit,,
