Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
89,4,12/15/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1S8GpKRUcvU1fcYhVy4aD-rkEiv9GSSQt,,Character Impact Mapping,3,Abstraction,"SEL, ELA",Lori E.,folder,,,,,,
90,4,,,FALSE,,Skipped--unsure of academic rigor,Decomposing our Playground,3,Decomposition,ELA,Kelly M.,folder,,,,,,
109,5,12/16/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1I9hGC3MWzPTUDBEInQBC7OjWW50D4Q2J,,Class Community Data Portrait,3,Abstraction,"Math, SEL",Lori E.,folder,,,,,,
110,5,12/10/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1tNKsN2eTFV22z_70ujZgS___R4icDDI7,,Oregon Mapping,3,Decomposition,Social Studies,Kelly M.,folder,,,,,,
129,6,12/20/2025,Charlie Henry,TRUE,https://docs.google.com/document/d/1PVkKJWCOwBPyOG4Gu00ccUs0vRF63JtM_f8snCyeFKU/edit?tab=t.0,,Sincere Apology Algorithm,3,Algorithms,SEL,Lori E.,folder,,,,,,
130,6,,,FALSE,,Skipped--unsure of academic rigor,Abstract Alphabet Code,3,Abstraction,ELA,Kelly M.,folder,,,,,,
140,3,12/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Wg-R8l-IHTZH4pKaulJdfjjEvaVNqRBc,,My Subtraction Algorithm,3,Algorithms,Math,Kelly M.,https://drive.google.com/drive/folders/16w11l1vW2kr55gmnkfH4WQCvq6G3rbl6,,,,,,
241,1,11/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1KU2pYOQye7XQad93kwTna7qnr4JaPM7o?usp=drive_link,,Marigold Algorithm,3,Algorithms,"ELA, ELD",Dylana Garfas-Knowles,https://docs.google.com/document/d/10NZHwWJXDxbi82Z7Wl1fcJgzw4WSOcCSGVtkHYlaFe8/edit?tab=t.0,,,,,,
242,2,11/4/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/14BjaTVaeoKt5C-eTzT1HEw8RhpRS09w8,,Abstract Pronouns,3,Abstraction,ELD,Dylana Garfas-Knowles,https://drive.google.com/drive/u/0/folders/1mE74ykfFt6pgXkAbNZBBSWzXlV_V4h9p,,,,,,
243,3,11/22/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1kQsbr1F49RZVJKf8h_T9tgUDyttQtBQB,,Story Abstraction,3,Abstraction,ELD,Dylana Garfas-Knowles,https://docs.google.com/document/d/18bQmVcC5VvrkLw6H6PSI4MuFCX37TC7otI82fDriRx4/edit?tab=t.0,,,,,,
244,4,11/23/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Jv5JORJpG-qYsSSiYa6kZci3K7MNnT8Q,,Abstract Questioning Strategies,3,Abstraction,ELD,Dylana Garfas-Knowles,https://drive.google.com/drive/folders/1cDv4o4nDi_NjvXAKvbxwLedIIH1apgfH,,,,,,
